id,name,tags
51925911965-76,Philip Morris International,"sector:tobacco industry, issue:TPD review"
62460931291-40,Imperial Tobacco Group,"sector:tobacco industry, issue:TPD review"
,Reemtsma,"sector:tobacco industry, issue:TPD review"
2427500988-58,British American Tobacco,"sector:tobacco industry, issue:TPD review"
71175716023-03,Japan Tobacco (JT) International Holding,"sector:tobacco industry, issue:TPD review"
56705163713-93,Swedish Match,"sector:tobacco industry, issue:TPD review"
15067204668-85,Hunters & Frankau Limited,"sector:tobacco industry, issue:TPD review"
,House of Oliver Twist,"sector:tobacco industry, issue:TPD review"
,Assens Tobaksfabrik,"sector:tobacco industry, issue:TPD review"
1496873833-97,Confederation of European Community Cigarette Manufacturers,"sector:tobacco industry, issue:TPD review"
0138855852-93,European Smoking Tobacco Association,"sector:tobacco industry, issue:TPD review"
76631212796-76,European Smokeless Tobacco Council,"sector:tobacco industry, issue:TPD review"
47922738433-52,sector:tobacco industry Platform,"sector:tobacco industry, issue:TPD review"
,European Association of Tobacco Growers,"sector:tobacco industry, issue:TPD review"
85326064523-94,Confédération Européenne des Détaillants en Tabac,"sector:tobacco industry, issue:TPD review"
208449710537-54, Federatie van de sigarenindustrie in België en Luxemburg,"sector:tobacco industry, issue:TPD review"
92802501097-37,European Cigar Manufacturers Association,"sector:tobacco industry, issue:TPD review"
,International Tobacco Growers’ Association,"sector:tobacco industry, issue:TPD review"
16135192686-50,Groupement des Industriels Européens du Tabac,"sector:tobacco industry, issue:TPD review"
68037164462-39,Imported Tobacco Products Advisory Council,"sector:tobacco industry, issue:TPD review"
63177694602-56,Fédération de l'industrie du tabac de coupe en Belgique et au Luxembourg,"sector:tobacco industry, issue:TPD review"
94376854542-25,Cigarette Manufacturers of Belgium and Luxembourg,"sector:tobacco industry, issue:TPD review"
78764438624-42,Federazione Italiana Tabaccai,"sector:tobacco industry, issue:TPD review"
27567784437-46,"Tobaksindustrien, (Tobacco Manufactures Association of Denmark)","sector:tobacco industry, issue:TPD review"
36386526255-04,Interessengemeinschaft Tabakwirtschaft e.V.,"sector:tobacco industry, issue:TPD review"
78982871558-95,Deutscher Zigarettenverband e.V.,"sector:tobacco industry, issue:TPD review"
87594253741-94,Bundesverband Deutscher Tabakwaren-Großhändler und Automatenaufsteller e.V.,"sector:tobacco industry, issue:TPD review"
79170323734-59,Europäischer Tabakwaren-Grosshandels Verband e.V.,"sector:tobacco industry, issue:TPD review"
92573623984-60,Verband der deutschen Rauchtabakindustrie e.V.,"sector:tobacco industry, issue:TPD review"
55551597307-48,Bundesverband der Zigarrenindustrie,"sector:tobacco industry, issue:TPD review"
,Magyar Dohánytermelők Országos Szövetsége (Hungarian Tobacco Growers’ Association),"sector:tobacco industry, issue:TPD review"
30971284469-05,Association of Independent Tobacco Specialists,"sector:tobacco industry, issue:TPD review"
782918510959-35,Schweitzer Mauduit International,"sector:tobacco industry, issue:TPD review"
45859743553-04,European Rolling Paper Association,"sector:tobacco industry, issue:TPD review"
392494110294-75,Associazione Professionale Trasformatori Tabacchi Italiani,"sector:tobacco industry, issue:TPD review"
198242310877-72,Alliance of Northern European Tobacco and Convenience Retail Organsations,"sector:tobacco industry, issue:TPD review"
,European Federation of Tobacco Processors,"sector:tobacco industry, issue:TPD review"
298578510773-22,Electronic Cigarette Industry Trade Association,issue:TPD review
133147210732-65,Elektronische Sigaretten Bond Nederland,issue:TPD review
071789410767-67,Greek Electronic Cigarette Trade Association,issue:TPD review
57880396344-21,Stichting Elektrisch Dampen Nederland,issue:TPD review
711092410756-80,Verband des eZigarettenhandels,issue:TPD review
169778610761-14,Tobacco Vapor Electronic Cigarette Association,issue:TPD review
829392410814-85,NJOY,issue:TPD review
388458811677-57,Interessengemeinschaft E-Dampfen e. V.,issue:TPD review
90905271757-87,European Travel Retail Confederation,issue:TPD review
